DOI,Author,Title,Year,Source,Volume,Number,Pages,Url,Affiliations,Abstract,Keywords,Author Keywords,PMID,Source Abbrev,Total Citation Count,SJR,H index,Org QS,Database,Searching Keyword,Title Frequency,Abstract Frequency,DB Keyword Frequency,Author Keyword Frequency,Local Citation Count,Global Citation Count,Full Text Frequency
"10.1109/LATINCOM.2016.7811590","Astudillo-Salinas, Fabian and Barrera-Salamea, Daniela and Vazquez-Rodas, Andres and Solano-Quinde, Lizandro","Minimizing the power consumption in Raspberry Pi to use as a remote WSN gateway","2016","2016 8th IEEE Latin-American Conference on Communications, LATINCOM 2016","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012025588&doi=10.1109%2fLATINCOM.2016.7811590&partnerID=40&md5=ebeff8b7c06d8032ba75b040f2dec293","Departamento de Eléctrica, Electrónica y Telecomunicaciones (DEET), Universidad de Cuenca Cuenca, Ecuador, 010150, Ecuador","The reliability of Raspberry Pi minicomputer as a remote gateway in a wireless sensor network requires an analysis of power consumption. Due to the limited energy conditions, when a station is powered by a photovoltaic system, it is essential to reduce its energy consumption to maximize the lifetime of the network. This paper presents a comparative analysis of Raspberry Pi power consumption profile under multiple settings: reduced hardware elements, installation of different operating systems and, downclock CPU (700 MHz to 100 MHz), SDRAM (400 MHz to 100 MHz) and GPU (250 MHz to 50 MHz) units. Based on the results, the energy consumption is reduced up to 20% which is equivalent to a saving of 0.25 W. The minimum Raspberry Pi power consumption reached is 0.97 W. © 2016 IEEE.","electric power utilization; energy utilization; gateways (computer networks); photovoltaic cells; reliability analysis; comparative analysis; hardware elements; limited energies; photovoltaic systems; raspberry pi; wireless sensor networks","NA","NA","IEEE Lat.-Am. Conf. Commun., LATINCOM","12","0.222","8","NA","Scopus","raspberry pi","0","0","1","0","1","11","10"
"10.14233/ajchem.2014.19005","Jeyakkannan, N. and Nagaraj, B.","Online monitoring of geological methane storage and leakage based on wireless sensor networks","2014","Asian Journal of Chemistry","26","NA","S23 – S26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989170144&doi=10.14233%2fajchem.2014.19005&partnerID=40&md5=b4b17c9671d3022408fc540ef06ed660","Department of Electronics and Communication Engineering, Karpagam University, Coimbatore, 641 021, India; Department of Electronics and Communication Engineering, Karpagam College of Engineering, Coimbatore, 641 032, India","Geological methane monitoring is an important aspect of mining and other petrochemical industries. In hazardous environments local cabling and wiring for the sensors requires frequent maintenance and preventive installations. Proposed work is developed to monitor the concentration of methane using wireless sensor networks linked to Raspberry Pi. A series of methane sensors were developed for monitoring and transmitting the methane concentration. The collected data was transmitted to the base station connected to receiver GPRS connected to Raspberry Pi. Raspberry Pi connected via USB cable to the base computer was used for the data acquisition from various sensors installed on the site. The results obtained from the wireless sensors were compared to that of the acquired signals from the wireless sensor networks. The results obtained were accurate and leakage of methane gas was detected and acquired online using the Raspberry Pi. © 2014, Chemical Publishing Co. All rights reserved.","NA","methane; raspberry pi and wireless sensor networks","NA","Asian J. Chem.","12","0.158","38","NA","Scopus","raspberry pi","0","0","0","1","0","12","19"
"10.1109/EDUNINE.2017.7918189","Trowbridge, Bradley and Calas, Frank and Weingarten, Zachary and Husinger, Josiah and Fomitchev, Vladislav and Integlia, Ryan","Protomesh, a wireless solution and platform for embedded education and Raspberry Pi workshops","2017","EDUNINE 2017 - IEEE World Engineering Education Conference: Engineering Education - Balancing Generalist and Specialist Formation in Technological Carriers: A Current Challenge, Proceedings","NA","NA","90 – 94","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019989756&doi=10.1109%2fEDUNINE.2017.7918189&partnerID=40&md5=f86336f46e479feca21dbbb19bf80648","College of Information and Technology, Visualization, Technology and Collaboration Lab, Florida Polytechnic University, 4700 Research Way, Lakeland, 33805, FL, United States; College of Engineering, Visualization, Technology and Collaboration Lab, Florida Polytechnic University, 4700 Research Way, Lakeland, 33805, FL, United States","In order to further education in embedded discovery, Protomesh (prototype mesh) seeks to improve the field by providing a wireless solution for deploying Raspberry Pi workshops. Protomesh is a platform for starting up a quick ad-hoc batman-adv network. Batman-adv is an open source, kernel module native to Linux that provides a layer two mesh network routing protocol [2]. We leveraged this technology during Raspberry Pi workshops to use as a wireless infrastructure where students could freely access their Raspberry Pi across the mesh network. Network technologies such as this provide both an interactive and enriching experience. Protomesh enhances this experience by providing a solution for wireless connections and removing the burden of tethered Raspberry Pis. By allowing students to experience Raspberry Pi's wirelessly, students are enabled to explore a new horizon of embedded education. © 2017 IEEE.","ad hoc networks; computer operating systems; education; mesh generation; mesh networking; network layers; students; batman advanced; further education; kernel modules; network technologies; raspberry pi 3 mesh; wireless connection; wireless infrastructures; wireless solutions; engineering education","ad-hoc networks; batman advanced; mesh networking; raspberry pi 3 mesh; raspberry pi workshops","NA","EDUNINE - IEEE World Eng. Educ. Conf.: Eng. Educ. - Balanc. Generalist Spec. Form. Technol. Carriers: Curr. Chall., Proc.","0","0.136","4","NA","Scopus","raspberry pi","0","0","1","2","0","0","23"
"10.1109/SIITME53254.2021.9663650","Szolga, Lorant Andras","On Flight Real Time Image Processing by Drone Equipped with Raspberry Pi4","2021","2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging, SIITME 2021 - Conference Proceedings","NA","NA","334 – 337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124706317&doi=10.1109%2fSIITME53254.2021.9663650&partnerID=40&md5=f2340368419c1d1b563120474eddc25d","Technical University of Cluj-Napoca, Basis of Electronics (ETTI), Cluj-Napoca, Romania","This paper presents an innovative solution for image processing, especially object and person detection, using a drone. Compared to previous implementations that relied on a good network connection for good functionality, in my case the processing/detection will be done locally using a Raspberry Pi4 module, mounted on the drone. The first part of our research consisted of building a lightweight drone with some of the best racing components, chosen carefully for our specific needs. The second part consisted of implementing a computationally-low-cost detection algorithm on the Raspberry Pi, using convolutional neural networks and Tensorflow Lite. The chosen algorithm that was used was SSD-Single Shot Detection, capable of detecting multiple objects in one image during one iteration of the algorithm. I also designed an enclosure to securely place the drone battery, Raspberry Pi Battery and Raspberry Pi module on the drone, which was 3D printed.  © 2021 IEEE.","3d printers; aircraft detection; convolutional neural networks; drones; electric batteries; object detection; object recognition; drone; images processing; innovative solutions; low-costs; network connection; objects detection; person detection; raspberry pi; real-time image processing; ssd; iterative methods","drone; image processing; object detection; raspberry pi; ssd","NA","IEEE Int. Symp. Des. Technol. Electron. Packag., SIITME - Conf. Proc.","1","NA","NA","1201+","Scopus","raspberry pi","0","0","1","1","0","1","NA"
"10.1109/ICACITE53722.2022.9823566","Shailesh and Chauhan, Rajan and Chaudhary, Vishal and Deb, Pragati Shrivastava and Choudhary, Rishabh","Luggage Carrying Trolley Using Raspberry Pi","2022","2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering, ICACITE 2022","NA","NA","648 – 650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135472131&doi=10.1109%2fICACITE53722.2022.9823566&partnerID=40&md5=990c71127dac9683a2121bf0baa5e874","ABES Engineering College, Electrical & Electronics Engineering, Uttar Pradesh, Ghaziabad, India","This paper simulates a luggage carrying trolley which will be able to trace the path of the human whose lug-gage it would be carrying. This trolley would be controlled with the help of Raspberry Pi 3B+ Board. Inputs regarding the obstacles in the path are provided by the pi camera and ultra-sonic sensors to Raspberry Pi board which would accordingly control the direction of the trolley. Using machine learning algorithm, camera would be able to detect the difference be-tween the obstacles and the human through image processing and for the obstacles that are out of camera's vision would be detected by ultrasonic sensor. To make this trolley understand which human to follow, a bracelet with a particular design engraved in it would be fed to the camera of the trolley. Then it will only follow that particu-lar human wearing the bracelet. © 2022 IEEE.","cameras; learning algorithms; machine learning; ultrasonic applications; camera vision; images processing; machine learning algorithms; raspberry pi.; ultra sonic sensors; unique design bracelet; image processing","image processing; raspberry pi. unique design bracelet","NA","Int. Conf. Adv. Comput. Innov. Technol. Eng., ICACITE","0","NA","NA","NA","Scopus","raspberry pi","0","0","1","1","0","0","NA"
"10.1109/MC.2013.349","Severance, Charles","Eben upton: Raspberry Pi","2013","Computer","46","10","14 – 16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887987120&doi=10.1109%2fMC.2013.349&partnerID=40&md5=b95bd786bbacf81f1183fa3eaf4d4f8b","School of Information, University of Michigan, United States","Eben Upton describes why and how he formed the Raspberry Pi Foundation. The first Web extra at http://youtu.be/JVU5QBg5l6g is an audio recording of Charles Severance's Computing Conversations column, in which he discusses his interview with Eben Upton about the formation of the Raspberry Pi Foundation. © 2013 IEEE.","computing conversations; eben upton; computer science","computing conversations; eben upton; raspberry pi","NA","Computer","44","23.032","280","NA","Scopus","raspberry pi","0","0","0","1","9","35","16"
"10.1590/1806-9126-RBEF-2020-0167","Barbosa, Gabriel H. Cassel and Varanis, Marcus and Delgado, Kelven M.S. and de Oliveira, Clivaldo","An acquisition system framework for mechanical measurements with Python, Raspberry-Pi and MEMS sensors","2020","Revista Brasileira de Ensino de Fisica","42","189","1 – 16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105809877&doi=10.1590%2f1806-9126-RBEF-2020-0167&partnerID=40&md5=5ff3346218a74f12d625e921d3769cee","Universidade Federal da Grande Dourados, Faculdade de Engenharia, Dourados, MS, Brazil","In this paper, we propose the development of a low-cost acquisition system using Raspberry-Pi 3 and MEMS accelerometers to measure vibrations in mechanical systems. The main objective is to assemble a signals acquisition system easy to handle, of low cost and good accuracy for teaching and industrial purposes. The central idea is that the signals are acquired and processed in the Raspberry-Pi. The Python language and numerical libraries (scipy, numpy and matplotlib) are used for implementation of acquisition and signal processing. This paper proposes the study of vibrations in time and frequency domain. The acquisition system proposed can be easy implemented and the results obtained had good precision (time and frequency domain) and agree with the literature. Copyright by Sociedade Brasileira de Física. Printed in Brazil.","NA","acquisition system; mechanical vibrations; mems; python; raspberry-pi","NA","Rev. Bras. Ensino Fis.","0","0.204","12","NA","Scopus","raspberry pi","0","0","0","0","0","0","30"
"10.1007/978-81-322-2580-5_58","Balogh, Zoltán and Bízik, Richard and Turčáni, Milan and Koprda, Štefan","Proposal for spatial monitoring activities using the raspberry pi and lf rfid technology","2016","Lecture Notes in Electrical Engineering","348","NA","641 – 651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952333844&doi=10.1007%2f978-81-322-2580-5_58&partnerID=40&md5=ca3519f7ef141e389b8c85e65ee337b2","Department of Informatics, Constantine the Philosopher University in Nitra, Tr. A. Hlinku 1, Nitra, 94974, Slovakia","The paper describes a new way of activity monitoring of small rodents by the use of Raspberry PI and RFID. The created system deals with complex monitoring, record and acquisition of new entries from spatial activity. Raspberry PI is a full-valued micro-PC with an operating system based on Linux which communicates and controls RFID reader working at the frequency of 125 and 134 kHz. It is needed to read LF RFID chips. Monitoring station preserves transmitter scanning by a programme created in Java and RFID chip reader and sending entries into relational database. The created database is on the central Raspberry PI to which other Raspberry PI monitoring stations have access through WiFi net or LAN net. It is possible to access the central PC by a remote management. The created system is variable, compact and offers wide possibilities of spread, and the last but not least, the system is a cheap alternative of the already existing systems. © Springer India 2016.","computer operating systems; mammals; radio frequency identification (rfid); remote control; wireless telecommunication systems; activity monitoring; complex monitoring; existing systems; monitoring activities; monitoring stations; relational database; remote management; spatial activity; monitoring","monitoring; raspberry pi; remote management; rfid; spatial activity","NA","Lect. Notes Electr. Eng.","5","0.148","36","NA","Scopus","raspberry pi","1","0","0","1","2","3","27"
"10.3390/electronics5030033","Kölling, Michael","Educational programming on the Raspberry Pi","2016","Electronics (Switzerland)","5","3","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978967300&doi=10.3390%2felectronics5030033&partnerID=40&md5=f61a044d84cd583e23a29d1b8d6b179b","School of Computing, University of Kent, Canterbury, CT2 7NF, United Kingdom","The original aim when creating the Raspberry Pi was to encourage “kids”—pre-university learners—to engage with programming, and to develop an interest in and understanding of programming and computer science concepts. The method to achieve this was to give them their own, low cost computer that they could use to program on, as a replacement for a family PC that often did not allow this option. With the original release, the Raspberry Pi included two programming environments in the standard distribution software: Scratch and IDLE, a Python environment. In this paper, we describe two programming environments that we developed and recently ported and optimised for the Raspberry Pi, Greenfoot and BlueJ, both using the Java programming language. Greenfoot and BlueJ are both now included in the Raspberry Pi standard software distribution, and they differ in many respects from IDLE; they are more graphical, more interactive, more engaging, and illustrate concepts of object orientation more clearly. Thus, they have the potential to support the original aim of the Raspberry Pi by creating a deeper engagement with programming. This paper describes these two environments and how they may be used, and discusses their differences and relationships to the two previously available systems. © 2016 by the author; licensee MDPI, Basel, Switzerland.","computer software; java programming language; bluej; educational programming; greenfoot; java; object orientation; programming education; programming environment; standard distributions; computer programming","bluej; greenfoot; java; programming education; raspberry pi","NA","Electronics (Switzerland)","18","0.590","49","383","Scopus","raspberry pi","0","0","0","1","4","14","76"
"10.1111/2041-210X.13652","Jolles, Jolle W.","Broad-scale applications of the Raspberry Pi: A review and guide for biologists","2021","Methods in Ecology and Evolution","12","9","1562 – 1579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108320891&doi=10.1111%2f2041-210X.13652&partnerID=40&md5=1ee57b393dce5014cfb98c6f2be6b5e3","Zukunftskolleg, University of Konstanz, Konstanz, Germany; Department of Collective Behaviour, Max Planck Institute of Animal Behaviour, Konstanz, Germany; Centre for Research on Ecology and Forestry Applications (CREAF), Barcelona, Spain","The field of biology has seen tremendous technological progress in recent years, fuelled by the exponential growth in processing power and high-level computing, and the rise of global information sharing. Low-cost single-board computers are predicted to be one of the key technological advancements to further revolutionise this field. So far, an overview of current uptake of these devices and a general guide to help researchers integrate them in their work has been missing. In this paper I focus on the most widely used single-board computer, the Raspberry Pi, and review its broad applications and uses across the biological domain. Since its release in 2012, the Raspberry Pi has been increasingly taken up by biologists, in the laboratory, the field and in the classroom, and across a wide range of disciplines. A hugely diverse range of applications exists that ranges from simple solutions to dedicated custom-build devices, including nest-box monitoring, wildlife camera trapping, high-throughput behavioural recording, large-scale plant phenotyping, underwater video surveillance, closed-loop operant learning experiments and autonomous ecosystem monitoring. Despite the breadth of its implementations, the depth of uptake of the Raspberry Pi by the scientific community is still limited. The broad capabilities of the Raspberry Pi, combined with its low cost, ease of use and large user community make it a great research tool for almost any project. To help accelerate the uptake of the Raspberry Pi by the scientific community, I provide detailed guidelines, recommendations and considerations, and 30+ step-by-step guides on a dedicated accompanying website (http://raspberrypi-guide.github.io). I hope this paper will help generate more awareness about the Raspberry Pi among scientists and thereby both fuel the democratisation of science and ultimately help advance our understanding of biology, from the micro- to the macro-scale. © 2021 The Authors. Methods in Ecology and Evolution published by John Wiley & Sons Ltd on behalf of British Ecological Society","NA","automation; computing; electronics; open electronics raspberry pi; single-board computer; technology; tools","NA","Methods Ecol. Evol.","49","2.992","123","501-510","Scopus","raspberry pi","0","0","0","1","1","48","253"
