DOI,MLA,APA,Chicago,Harvard,Vancouver
"10.1109/LATINCOM.2016.7811590","Astudillo-Salinas, Fabian, et al. “Minimizing the Power Consumption in Raspberry Pi to Use as a Remote WSN Gateway.” 2016 8th IEEE Latin-American Conference on Communications (LATINCOM), IEEE, Nov. 2016. Crossref, https://doi.org/10.1109/latincom.2016.7811590.","Astudillo-Salinas, F., Barrera-Salamea, D., Vazquez-Rodas, A., & Solano-Quinde, L. (2016). Minimizing the power consumption in Raspberry Pi to use as a remote WSN gateway. In 2016 8th IEEE Latin-American Conference on Communications (LATINCOM). 2016 8th IEEE Latin-American Conference on Communications (LATINCOM). IEEE. https://doi.org/10.1109/latincom.2016.7811590","Astudillo-Salinas, Fabian, Daniela Barrera-Salamea, Andres Vazquez-Rodas, and Lizandro Solano-Quinde. 2016. “Minimizing the Power Consumption in Raspberry Pi to Use as a Remote WSN Gateway.” 2016 8th IEEE Latin-American Conference on Communications (LATINCOM). IEEE. https://doi.org/10.1109/latincom.2016.7811590.","Astudillo-Salinas, F. et al. (2016) “Minimizing the power consumption in Raspberry Pi to use as a remote WSN gateway,” 2016 8th IEEE Latin-American Conference on Communications (LATINCOM). 2016 8th IEEE Latin-American Conference on Communications (LATINCOM), IEEE. Available at: https://doi.org/10.1109/latincom.2016.7811590.","Astudillo-Salinas F, Barrera-Salamea D, Vazquez-Rodas A, Solano-Quinde L. Minimizing the power consumption in Raspberry Pi to use as a remote WSN gateway. 2016 8th IEEE Latin-American Conference on Communications (LATINCOM) 2016. https://doi.org/10.1109/latincom.2016.7811590."
"10.14233/ajchem.2014.19005","Jeyakkannan, N., and B. Nagaraj. “Online Monitoring of Geological Methane Storage and Leakage Based on Wireless Sensor Networks.” Asian Journal of Chemistry, vol. 26, no. Supp., Asian Journal of Chemistry, 2014, pp. S23–26. Crossref, https://doi.org/10.14233/ajchem.2014.19005.","Jeyakkannan, N., & Nagaraj, B. (2014). Online Monitoring of Geological Methane Storage and Leakage Based on Wireless Sensor Networks. In Asian Journal of Chemistry (Vol. 26, Issue Supp., pp. S23–S26). Asian Journal of Chemistry. https://doi.org/10.14233/ajchem.2014.19005","Jeyakkannan, N., and B. Nagaraj. 2014. “Online Monitoring of Geological Methane Storage and Leakage Based on Wireless Sensor Networks.” Asian Journal of Chemistry. Asian Journal of Chemistry. https://doi.org/10.14233/ajchem.2014.19005.","Jeyakkannan, N. and Nagaraj, B. (2014) “Online Monitoring of Geological Methane Storage and Leakage Based on Wireless Sensor Networks,” Asian Journal of Chemistry. Asian Journal of Chemistry. Available at: https://doi.org/10.14233/ajchem.2014.19005.","Jeyakkannan N, Nagaraj B. Online Monitoring of Geological Methane Storage and Leakage Based on Wireless Sensor Networks. Asian J Chem 2014;26:S23–6. https://doi.org/10.14233/ajchem.2014.19005."
"10.1109/EDUNINE.2017.7918189","Trowbridge, Bradley, et al. “Protomesh, a Wireless Solution and Platform for Embedded Education and Raspberry Pi Workshops.” 2017 IEEE World Engineering Education Conference (EDUNINE), IEEE, Mar. 2017. Crossref, https://doi.org/10.1109/edunine.2017.7918189.","Trowbridge, B., Calas, F., Weingarten, Z., Husinger, J., Fomitchev, V., & Integlia, R. (2017). Protomesh, a wireless solution and platform for embedded education and Raspberry Pi workshops. In 2017 IEEE World Engineering Education Conference (EDUNINE). 2017 IEEE World Engineering Education Conference (EDUNINE). IEEE. https://doi.org/10.1109/edunine.2017.7918189","Trowbridge, Bradley, Frank Calas, Zachary Weingarten, Josiah Husinger, Vladislav Fomitchev, and Ryan Integlia. 2017. “Protomesh, a Wireless Solution and Platform for Embedded Education and Raspberry Pi Workshops.” 2017 IEEE World Engineering Education Conference (EDUNINE). IEEE. https://doi.org/10.1109/edunine.2017.7918189.","Trowbridge, B. et al. (2017) “Protomesh, a wireless solution and platform for embedded education and Raspberry Pi workshops,” 2017 IEEE World Engineering Education Conference (EDUNINE). 2017 IEEE World Engineering Education Conference (EDUNINE), IEEE. Available at: https://doi.org/10.1109/edunine.2017.7918189.","Trowbridge B, Calas F, Weingarten Z, Husinger J, Fomitchev V, Integlia R. Protomesh, a wireless solution and platform for embedded education and Raspberry Pi workshops. 2017 IEEE World Engineering Education Conference (EDUNINE) 2017. https://doi.org/10.1109/edunine.2017.7918189."
"10.1109/SIITME53254.2021.9663650","Szolga, Lorant Andras. “On Flight Real Time Image Processing by Drone Equipped with Raspberry Pi4.” 2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME), IEEE, 27 Oct. 2021. Crossref, https://doi.org/10.1109/siitme53254.2021.9663650.","Szolga, L. A. (2021). On Flight Real Time Image Processing by Drone Equipped with Raspberry Pi4. In 2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME). 2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME). IEEE. https://doi.org/10.1109/siitme53254.2021.9663650","Szolga, Lorant Andras. 2021. “On Flight Real Time Image Processing by Drone Equipped with Raspberry Pi4.” 2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME). IEEE. https://doi.org/10.1109/siitme53254.2021.9663650.","Szolga, L.A. (2021) “On Flight Real Time Image Processing by Drone Equipped with Raspberry Pi4,” 2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME). 2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME), IEEE. Available at: https://doi.org/10.1109/siitme53254.2021.9663650.","Szolga LA. On Flight Real Time Image Processing by Drone Equipped with Raspberry Pi4. 2021 IEEE 27th International Symposium for Design and Technology in Electronic Packaging (SIITME) 2021. https://doi.org/10.1109/siitme53254.2021.9663650."
"10.1109/ICACITE53722.2022.9823566","Shailesh, et al. “Luggage Carrying Trolley Using Raspberry Pi.” 2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE), IEEE, 28 Apr. 2022. Crossref, https://doi.org/10.1109/icacite53722.2022.9823566.","Shailesh, Chauhan, R., Chaudhary, V., Deb, P. S., & Choudhary, R. (2022). Luggage Carrying Trolley Using Raspberry Pi. In 2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE). 2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE). IEEE. https://doi.org/10.1109/icacite53722.2022.9823566","Shailesh, Rajan Chauhan, Vishal Chaudhary, Pragati Shrivastava Deb, and Rishabh Choudhary. 2022. “Luggage Carrying Trolley Using Raspberry Pi.” 2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE). IEEE. https://doi.org/10.1109/icacite53722.2022.9823566.","Shailesh et al. (2022) “Luggage Carrying Trolley Using Raspberry Pi,” 2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE). 2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE), IEEE. Available at: https://doi.org/10.1109/icacite53722.2022.9823566.","Shailesh, Chauhan R, Chaudhary V, Deb PS, Choudhary R. Luggage Carrying Trolley Using Raspberry Pi. 2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE) 2022. https://doi.org/10.1109/icacite53722.2022.9823566."
"10.1109/MC.2013.349","Severance, Charles. “Eben Upton: Raspberry Pi.” Computer, vol. 46, no. 10, Institute of Electrical and Electronics Engineers (IEEE), Oct. 2013, pp. 14–16. Crossref, https://doi.org/10.1109/mc.2013.349.","Severance, C. (2013). Eben Upton: Raspberry Pi. In Computer (Vol. 46, Issue 10, pp. 14–16). Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/mc.2013.349","Severance, Charles. 2013. “Eben Upton: Raspberry Pi.” Computer. Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/mc.2013.349.","Severance, C. (2013) “Eben Upton: Raspberry Pi,” Computer. Institute of Electrical and Electronics Engineers (IEEE). Available at: https://doi.org/10.1109/mc.2013.349.","Severance C. Eben Upton: Raspberry Pi. Computer 2013;46:14–6. https://doi.org/10.1109/mc.2013.349."
"10.1590/1806-9126-RBEF-2020-0167","Cassel Barbosa, Gabriel H., et al. “An Acquisition System Framework for Mechanical Measurements with Python, Raspberry-Pi and MEMS Sensors.” Revista Brasileira de Ensino de Física, vol. 42, FapUNIFESP (SciELO), 2020. Crossref, https://doi.org/10.1590/1806-9126-rbef-2020-0167.","Cassel Barbosa, G. H., Varanis, M., Delgado, K. M. S., & Oliveira, C. de. (2020). An acquisition system framework for mechanical measurements with Python, Raspberry-Pi and MEMS sensors. In Revista Brasileira de Ensino de Física (Vol. 42). FapUNIFESP (SciELO). https://doi.org/10.1590/1806-9126-rbef-2020-0167","Cassel Barbosa, Gabriel H., Marcus Varanis, Kelven M. S. Delgado, and Clivaldo de Oliveira. 2020. “An Acquisition System Framework for Mechanical Measurements with Python, Raspberry-Pi and MEMS Sensors.” Revista Brasileira de Ensino de Física. FapUNIFESP (SciELO). https://doi.org/10.1590/1806-9126-rbef-2020-0167.","Cassel Barbosa, G.H. et al. (2020) “An acquisition system framework for mechanical measurements with Python, Raspberry-Pi and MEMS sensors,” Revista Brasileira de Ensino de Física. FapUNIFESP (SciELO). Available at: https://doi.org/10.1590/1806-9126-rbef-2020-0167.","Cassel Barbosa GH, Varanis M, Delgado KMS, Oliveira C de. An acquisition system framework for mechanical measurements with Python, Raspberry-Pi and MEMS sensors. Rev Bras Ensino Fís 2020;42. https://doi.org/10.1590/1806-9126-rbef-2020-0167."
"10.1007/978-81-322-2580-5_58","Balogh, Zoltán, et al. “Proposal for Spatial Monitoring Activities Using the Raspberry Pi and LF RFID Technology.” Wireless Communications, Networking and Applications, Springer India, 29 Oct. 2015, pp. 641–51. Crossref, https://doi.org/10.1007/978-81-322-2580-5_58.","Balogh, Z., Bízik, R., Turčáni, M., & Koprda, Š. (2015). Proposal for Spatial Monitoring Activities Using the Raspberry Pi and LF RFID Technology. In Wireless Communications, Networking and Applications (pp. 641–651). Springer India. https://doi.org/10.1007/978-81-322-2580-5_58","Balogh, Zoltán, Richard Bízik, Milan Turčáni, and Štefan Koprda. 2015. “Proposal for Spatial Monitoring Activities Using the Raspberry Pi and LF RFID Technology.” Wireless Communications, Networking and Applications. Springer India. https://doi.org/10.1007/978-81-322-2580-5_58.","Balogh, Z. et al. (2015) “Proposal for Spatial Monitoring Activities Using the Raspberry Pi and LF RFID Technology,” Wireless Communications, Networking and Applications. Springer India. Available at: https://doi.org/10.1007/978-81-322-2580-5_58.","Balogh Z, Bízik R, Turčáni M, Koprda Š. Proposal for Spatial Monitoring Activities Using the Raspberry Pi and LF RFID Technology. Wireless Communications, Networking and Applications 2015:641–51. https://doi.org/10.1007/978-81-322-2580-5_58."
"10.3390/electronics5030033","Kölling, Michael. “Educational Programming on the Raspberry Pi.” Electronics, vol. 5, no. 4, MDPI AG, 24 June 2016, p. 33. Crossref, https://doi.org/10.3390/electronics5030033.","Kölling, M. (2016). Educational Programming on the Raspberry Pi. In Electronics (Vol. 5, Issue 4, p. 33). MDPI AG. https://doi.org/10.3390/electronics5030033","Kölling, Michael. 2016. “Educational Programming on the Raspberry Pi.” Electronics. MDPI AG. https://doi.org/10.3390/electronics5030033.","Kölling, M. (2016) “Educational Programming on the Raspberry Pi,” Electronics. MDPI AG. Available at: https://doi.org/10.3390/electronics5030033.","Kölling M. Educational Programming on the Raspberry Pi. Electronics 2016;5:33. https://doi.org/10.3390/electronics5030033."
"10.1111/2041-210X.13652","Jolles, Jolle W. “Broad‐scale Applications of the Raspberry Pi: A Review and Guide for Biologists.” Methods in Ecology and Evolution, vol. 12, no. 9, Wiley, 23 June 2021, pp. 1562–79. Crossref, https://doi.org/10.1111/2041-210x.13652.","Jolles, J. W. (2021). Broad‐scale applications of the Raspberry Pi: A review and guide for biologists. In Methods in Ecology and Evolution (Vol. 12, Issue 9, pp. 1562–1579). Wiley. https://doi.org/10.1111/2041-210x.13652","Jolles, Jolle W. 2021. “Broad‐scale Applications of the Raspberry Pi: A Review and Guide for Biologists.” Methods in Ecology and Evolution. Wiley. https://doi.org/10.1111/2041-210x.13652.","Jolles, J.W. (2021) “Broad‐scale applications of the Raspberry Pi: A review and guide for biologists,” Methods in Ecology and Evolution. Wiley. Available at: https://doi.org/10.1111/2041-210x.13652.","Jolles JW. Broad‐scale applications of the Raspberry Pi: A review and guide for biologists. Methods Ecol Evol 2021;12:1562–79. https://doi.org/10.1111/2041-210x.13652."
"10.1080/03772063.2022.2088629","Kumar, Ajay, et al. “Design of Internet of Things (IoT) System Based Smart City Model on Raspberry Pi.” IETE Journal of Research, Informa UK Limited, 19 July 2022, pp. 1–8. Crossref, https://doi.org/10.1080/03772063.2022.2088629.","Kumar, A., Akhtar, Md. A. K., & Pandey, A. (2022). Design of Internet of Things (IoT) System Based Smart City Model on Raspberry Pi. In IETE Journal of Research (pp. 1–8). Informa UK Limited. https://doi.org/10.1080/03772063.2022.2088629","Kumar, Ajay, Md. Amir Khusru Akhtar, and Abhishek Pandey. 2022. “Design of Internet of Things (IoT) System Based Smart City Model on Raspberry Pi.” IETE Journal of Research. Informa UK Limited. https://doi.org/10.1080/03772063.2022.2088629.","Kumar, A., Akhtar, Md.A.K. and Pandey, A. (2022) “Design of Internet of Things (IoT) System Based Smart City Model on Raspberry Pi,” IETE Journal of Research. Informa UK Limited. Available at: https://doi.org/10.1080/03772063.2022.2088629.","Kumar A, Akhtar MdAK, Pandey A. Design of Internet of Things (IoT) System Based Smart City Model on Raspberry Pi. IETE Journal of Research 2022:1–8. https://doi.org/10.1080/03772063.2022.2088629."
"10.1166/jctn.2019.7937","Ramesh, B., and K. Panduranga Vittal. “Situation Awareness of Deep Mining Environment Using Raspberry Pi.” Journal of Computational and Theoretical Nanoscience, vol. 16, no. 5, American Scientific Publishers, 1 May 2019, pp. 2604–08. Crossref, https://doi.org/10.1166/jctn.2019.7937.","Ramesh, B., & Panduranga Vittal, K. (2019). Situation Awareness of Deep Mining Environment Using Raspberry Pi. In Journal of Computational and Theoretical Nanoscience (Vol. 16, Issue 5, pp. 2604–2608). American Scientific Publishers. https://doi.org/10.1166/jctn.2019.7937","Ramesh, B, and K Panduranga Vittal. 2019. “Situation Awareness of Deep Mining Environment Using Raspberry Pi.” Journal of Computational and Theoretical Nanoscience. American Scientific Publishers. https://doi.org/10.1166/jctn.2019.7937.","Ramesh, B. and Panduranga Vittal, K. (2019) “Situation Awareness of Deep Mining Environment Using Raspberry Pi,” Journal of Computational and Theoretical Nanoscience. American Scientific Publishers. Available at: https://doi.org/10.1166/jctn.2019.7937.","Ramesh B, Panduranga Vittal K. Situation Awareness of Deep Mining Environment Using Raspberry Pi. J Comput Theor Nanosci 2019;16:2604–8. https://doi.org/10.1166/jctn.2019.7937."
